index_column,taxumap1,taxumap2
PP119_1,19.893627,-2.391167
PP119_2,16.013704,-4.455798
PP119_3,16.128119,-2.4167025
PP119_4,14.325514,-2.9375339
PP119_5,14.978119,-3.4544299
PP119_6,17.975273,5.39422
PP119_8,18.062601,1.698498
PP119_11,14.725356,-3.6049588
PP119_19,17.360304,-0.96485955
PP119_20,14.193904,-2.878986
PP119_21,14.501172,-2.898925
PP119_22,17.13788,-5.3779073
PP119_23,15.819626,-4.81504
PP119_24,18.424131,-1.8916478
PP119_25,15.909824,-4.387496
PP119_26,17.1503,-3.2129045
PP119_27,18.510775,-4.8428755
PP119_28,15.615576,-4.259912
PP119_29,16.267939,-4.572563
PP119_30,16.354893,-4.4595766
PP119_31,17.180094,-3.4950635
PP119_32,16.127874,-4.5639987
PP119_33,17.891884,1.4003208
PP119_34,17.721664,0.14699587
PP119_35,18.15858,1.7236379
PP119_36,15.766652,-4.6417065
PP119_37,18.116556,1.4432962
PP119_38,16.164682,-4.649966
PP119_39,18.684174,-3.1316648
PP119_40,18.952091,-5.7780814
PP119_41,20.792004,-3.0576413
PP119_42,16.140333,-4.728605
PP119_43,17.680582,0.68667877
PP119_44,17.680264,0.6375577
PP119_46,17.67066,0.20218505
PP119_47,17.444353,-3.1746917
PP119_48,18.357996,-4.9104333
